quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
27/2	0.5	5	5	3/8	3/8	3/4	2	1	viio64	F	I		viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
14	0.5	5	5	1/2	1/2	3/4	2	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
29/2	0.5	5	5	5/8	5/8	3/4	2	1	iv6	F	I		iv6	iv		6					m	0	0	-4, 0, -1		-1	-4
15	1.0	6	6	0	0	3/4	2	1	V(4)/V	F	I		V(4)/V	V			4	V			M	0	0	2, 1, 3		2	2
16	0.5	6	6	1/4	1/4	3/4	2	1	V/V	F	I		V/V	V				V			M	0	0	2, 6, 3		2	2
33/2	0.5	6	6	3/8	3/8	3/4	2	1	iv64	F	I		iv64	iv		64					m	0	0	0, -1, -4		-1	0
17	0.5	6	6	1/2	1/2	3/4	2	1	V65	F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
35/2	0.5	6	6	5/8	5/8	3/4	2	1	V2	F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
18	2.0	7	7	0	0	3/4	2	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
20	0.5	7	7	1/2	1/2	3/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
41/2	0.5	7	7	5/8	5/8	3/4	2	1	IV6	F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
21	1.0	8	8	0	0	3/4	2	1	V(64)}	F	I		V(64)	V			64			}	M	0	0	1, 0, 4		1	1
22	2.0	8	8	1/4	1/4	3/4	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
24	0.5	9	9	0	0	3/4	2	1	I{	F	I		I	I						{	M	0	0	0, 4, 1		0	0
49/2	0.5	9	9	1/8	1/8	3/4	2	1	viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
25	2.0	9	9	1/4	1/4	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
27	0.5	10	10	0	0	3/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
55/2	0.5	10	10	1/8	1/8	3/4	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
